Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5552,"11,065",344,273,"6,608",,315,,"4,952",122,743,,"11,481"
5553,"4,398",471,488,"5,743",,121,,"2,857",,311,,"6,638"
5554,"7,321",,766,"6,784",,495,,"4,764",149,269,,"7,365"
5555,"21,824","32,442",,"30,045",,"3,041",414,"6,872","1,253","11,889",360,"33,116"
5556,"13,328","1,145",57,"6,445",,121,,"5,890",,909,,"9,477"
5557,"7,897",588,,"5,499",,199,,"4,384",,385,,"8,717"
5558,"4,590",346,,"4,771",,121,,"3,480",82,"1,045",,"9,385"
5559,"54,841","162,572",868,"38,484",,"14,313",707,"15,501","4,289","27,813",873,"124,225"
5560,807,,,619,,,,392,,67,,728
5561,"12,893",464,,"13,187",,121,,"5,830",,"1,009",,"10,059"
5562,"14,667",366,42,"5,857",,247,,"3,297",180,"3,146",,"7,837"
5563,"15,037","3,591",,"6,572",,232,483,"4,644",,"1,517",,"12,857"
5564,"15,912","1,198",930,"13,577",,688,,"9,967",441,"2,369",279,"15,516"
5565,"18,785","1,032",708,"10,627",,243,,"9,432",131,"1,272",,"25,407"
5566,"75,519","144,780","1,843","45,314",,"4,536",180,"18,717","4,738","23,677",288,"102,096"
5567,"4,209",766,,"1,545",,595,,"2,620",64,358,,"4,822"
5568,"5,662",113,118,"2,509",,121,,"3,275",,434,,"4,261"
5569,"8,302",212,,"4,163",,331,,"4,535",,428,,"6,291"
5570,"11,450",686,,"5,985",,151,,"4,268",,618,,"7,415"
5571,"5,222",540,56,"3,887",,121,,"2,919",,"1,417",,"4,429"
5572,"5,586",761,,"5,385",,153,,"5,328",,734,,"7,716"
5573,"8,381","1,470",,"4,607",,651,,"3,838",,"1,203",,"7,537"
5574,"8,582",47,267,"5,772",,586,,"7,183",,593,,"15,385"
5575,"7,965",899,335,"3,964",,427,,"4,047",131,587,,"5,377"
